Date,^GSPC,^STOXX50E,^FCHI,NQ=F,^DJI,^N225
2007-04-02,1420.8299560546875,4177.31005859375,5623.39990234375,1791.75,12354.51953125,17346.25
2007-04-03,1424.27001953125,4199.5400390625,5681.64990234375,1790.5,12379.0498046875,17154.779296875
2007-04-04,1437.75,4252.7099609375,5730.27978515625,1814.0,12511.3603515625,17400.6796875
2007-04-05,1438.93994140625,4259.97998046875,5731.7001953125,1818.25,12523.2197265625,17507.4609375
2007-04-09,1443.77001953125,,,1839.75,12562.6396484375,17606.029296875
2007-04-10,1444.5799560546875,4275.68017578125,5750.47021484375,1823.75,12568.490234375,17631.01953125
2007-04-11,1448.22998046875,4298.240234375,5757.93994140625,1830.0,12573.1201171875,17699.390625
2007-04-12,1438.8699951171875,4290.10986328125,5744.419921875,1812.0,12483.6396484375,17601.650390625
2007-04-13,1447.800048828125,4285.56005859375,5762.06005859375,1827.25,12551.91015625,17629.01953125
2007-04-16,1452.8399658203125,4333.9501953125,5815.35986328125,1832.0,12611.6396484375,17507.1796875
2007-04-17,1468.469970703125,4374.35986328125,5844.490234375,1847.5,12719.5595703125,17750.669921875
2007-04-18,1471.469970703125,4377.77978515625,5849.2001953125,1852.5,12771.080078125,17557.400390625
2007-04-19,1472.47998046875,4330.35986328125,5775.56005859375,1849.25,12799.76953125,17530.0
2007-04-20,1470.68994140625,4350.669921875,5856.5,1848.5,12811.150390625,17471.560546875
2007-04-23,1484.3299560546875,4416.06982421875,5937.14990234375,1862.5,12961.98046875,17589.609375
2007-04-24,1480.9300537109375,4399.169921875,5911.64990234375,1862.25,12919.6396484375,17363.83984375
2007-04-25,1480.280029296875,4380.58984375,5902.5400390625,1870.25,12951.419921875,17379.51953125
2007-04-26,1495.27001953125,4415.81982421875,5979.9599609375,1893.5,13088.83984375,17359.83984375
2007-04-27,1494.2099609375,4407.7001953125,5940.759765625,1904.5,13104.0400390625,17377.0390625
2007-04-30,1494.0699462890625,4378.25,5913.02978515625,1905.5,13120.2099609375,
2007-05-01,1482.3699951171875,,,1876.5,13062.75,17396.30078125
2007-05-02,1486.1300048828125,4401.93994140625,5985.2001953125,1885.5,13133.9404296875,17310.75
2007-05-03,1495.56005859375,4429.5,6018.58984375,1899.25,13206.650390625,
2007-05-04,1502.3499755859375,4429.27978515625,6012.5498046875,1906.0,13243.080078125,
2007-05-07,1505.5699462890625,4448.06005859375,6079.85986328125,1907.25,13264.1298828125,17564.169921875
2007-05-08,1509.3599853515625,4434.9599609375,6057.58984375,1906.75,13309.400390625,17651.470703125
2007-05-09,1507.3199462890625,,6070.18017578125,1905.75,13300.6201171875,17616.580078125
2007-05-10,1512.3299560546875,4422.41015625,6044.669921875,1912.5,13359.0498046875,17793.490234375
2007-05-11,1491.469970703125,4376.4501953125,5956.0,1886.5,13212.2001953125,17616.01953125
2007-05-14,1505.760009765625,4435.10009765625,6070.2998046875,1910.25,13325.8095703125,17682.740234375
2007-05-15,1503.1099853515625,4400.7900390625,6001.75,1896.0,13346.0498046875,17577.140625
2007-05-16,1500.75,4434.52978515625,6039.5498046875,1883.25,13486.9599609375,17487.0
2007-05-17,1514.010009765625,,6044.14990234375,1900.75,13487.5302734375,17586.330078125
2007-05-18,1512.739990234375,4428.9599609375,6018.22998046875,1891.25,13476.400390625,17563.529296875
2007-05-21,1522.75,4482.330078125,6091.58984375,1905.25,13556.5302734375,17455.55078125
2007-05-22,1525.0999755859375,4466.52978515625,6093.64013671875,1916.0,13544.990234375,17578.310546875
2007-05-23,1524.0899658203125,4473.5,6093.60986328125,1920.5,13540.83984375,17763.150390625
2007-05-24,1522.0999755859375,4477.0400390625,6069.9501953125,1910.25,13522.599609375,17680.44921875
2007-05-25,1507.5,4439.64990234375,6019.68017578125,1881.5,13441.9404296875,17529.26953125
2007-05-29,1515.550048828125,4480.0400390625,6079.669921875,1894.0,13507.2802734375,17524.8203125
2007-05-30,1517.5999755859375,4457.0400390625,6015.75,1906.0,13517.8896484375,17664.369140625
2007-05-31,1530.18994140625,4484.5,6086.85986328125,1922.5,13633.0,17715.76953125
2007-06-01,1530.6199951171875,4516.02978515625,6113.18017578125,1933.5,13628.6904296875,17949.919921875
2007-06-04,1536.280029296875,4550.02001953125,6157.330078125,1932.5,13667.2099609375,18067.900390625
2007-06-05,1539.1199951171875,4542.89013671875,6140.06005859375,1936.5,13673.1904296875,18019.7890625
2007-06-06,1530.5699462890625,4511.02001953125,6072.64013671875,1936.0,13590.66015625,18001.19921875
2007-06-07,1517.3599853515625,4446.39013671875,5982.5400390625,1914.75,13463.48046875,17879.009765625
2007-06-08,1490.7099609375,4376.5498046875,5876.64990234375,1884.0,13267.1396484375,17904.6796875
2007-06-11,1507.6400146484375,4394.490234375,5939.33984375,1909.25,13424.3896484375,17899.01953125
2007-06-12,1509.1199951171875,4408.509765625,5928.81005859375,1906.75,13424.3896484375,17845.220703125
2007-06-13,1492.6500244140625,4372.5400390625,5878.83984375,1892.5,13287.6201171875,17631.869140625
2007-06-14,1515.5799560546875,4427.14990234375,5974.58984375,1912.5,13482.4296875,17834.779296875
2007-06-15,1522.969970703125,4491.4599609375,6063.52001953125,1926.5,13556.650390625,17945.83984375
2007-06-18,1532.9000244140625,4551.2998046875,6117.52001953125,1969.0,13639.0,18127.41015625
2007-06-19,1531.02001953125,4529.83984375,6091.919921875,1968.0,13611.6796875,18131.58984375
2007-06-20,1533.6800537109375,4539.3701171875,6095.259765625,1967.0,13636.5595703125,18173.0703125
2007-06-21,1512.5,4527.3798828125,6043.18017578125,1948.75,13486.66015625,18117.30078125
2007-06-22,1522.18994140625,4496.10009765625,6040.509765625,1965.75,13545.0302734375,18177.890625
2007-06-25,1502.56005859375,4456.77978515625,5971.9599609375,1947.75,13360.08984375,18107.6796875
2007-06-26,1497.6800537109375,4451.93017578125,5962.64990234375,1941.5,13352.3701171875,18098.330078125
2007-06-27,1492.6199951171875,4418.85986328125,5921.4599609375,1926.5,13336.9296875,17981.76953125
2007-06-28,1506.3199462890625,4433.89990234375,5995.8701171875,1954.75,13427.48046875,17915.630859375
2007-06-29,1505.699951171875,4467.169921875,6031.740234375,1957.0,13422.6103515625,18010.5
2007-07-02,1504.6600341796875,4471.7998046875,6021.10009765625,1955.0,13409.599609375,18139.0390625
2007-07-03,1519.1199951171875,4483.3798828125,6074.1201171875,1973.0,13531.5302734375,18206.490234375
2007-07-05,1524.8599853515625,4533.0,6113.22998046875,1985.5,13576.240234375,18191.890625
2007-07-06,1524.9599609375,4492.08984375,6061.2001953125,1996.5,13559.009765625,18184.640625
2007-07-09,1530.4300537109375,4530.4501953125,6118.6298828125,2008.0,13612.66015625,18226.0703125
2007-07-10,1531.8499755859375,4526.81005859375,6104.1298828125,2009.0,13648.58984375,18244.689453125
2007-07-11,1509.9300537109375,4448.81982421875,5969.91015625,1992.0,13500.400390625,18116.66015625
2007-07-12,1518.739990234375,4458.16015625,6026.89013671875,2009.75,13579.330078125,18105.890625
2007-07-13,1547.6800537109375,4537.39013671875,6156.16015625,2034.25,13859.8603515625,18161.01953125
2007-07-16,1552.5,4547.68017578125,6131.740234375,2047.5,13907.08984375,
2007-07-17,1549.52001953125,4555.77978515625,6106.60986328125,2048.0,13951.9599609375,18269.359375
2007-07-18,1549.199951171875,4512.43017578125,6040.64990234375,2056.5,13955.0498046875,18136.060546875
2007-07-19,1546.1300048828125,4493.43994140625,6047.47998046875,2059.5,13918.7900390625,18095.94921875
2007-07-20,1553.18994140625,4516.2900390625,6050.4501953125,2063.5,14000.73046875,18148.599609375
2007-07-23,1534.06005859375,4444.93017578125,5936.27978515625,2053.5,13851.73046875,17995.7109375
2007-07-24,1541.5699462890625,4474.419921875,5991.83984375,2053.25,13940.900390625,17998.759765625
2007-07-25,1511.030029296875,4395.60986328125,5885.669921875,2026.25,13718.25,17810.970703125
2007-07-26,1518.0899658203125,4373.7099609375,5864.0,2026.5,13783.1201171875,17807.23046875
2007-07-27,1482.43994140625,4237.60986328125,5626.919921875,1999.5,13472.6796875,17454.58984375
2007-07-30,1458.9300537109375,4246.85986328125,5649.0498046875,1964.5,13266.2099609375,17138.529296875
2007-07-31,1473.9000244140625,4261.1201171875,5701.52001953125,1992.5,13360.66015625,17318.009765625
2007-08-01,1455.1800537109375,,5622.10986328125,1951.5,13211.08984375,17169.19921875
2007-08-02,1465.4599609375,4262.68017578125,5704.33984375,1962.25,13357.8203125,16956.330078125
2007-08-03,1472.1800537109375,4295.7900390625,5704.56005859375,1979.25,13462.25,17019.80078125
2007-08-06,1433.0400390625,4201.66015625,5532.58984375,1935.5,13183.1298828125,16781.140625
2007-08-07,1467.6199951171875,4229.2998046875,5610.6298828125,1962.0,13467.7197265625,17009.630859375
2007-08-08,1476.219970703125,4296.10986328125,5671.330078125,1973.5,13497.23046875,16930.390625
2007-08-09,1497.2099609375,4353.89990234375,5742.0498046875,1997.5,13652.330078125,17170.359375
2007-08-10,1453.0899658203125,4235.009765625,5518.2099609375,1945.25,13270.58984375,16923.2109375
2007-08-13,1453.4200439453125,4189.02978515625,5512.93017578125,1933.25,13239.5400390625,16791.80078125
2007-08-14,1452.8699951171875,4237.740234375,5513.06005859375,1942.0,13235.7197265625,16824.630859375
2007-08-15,1426.1500244140625,4170.990234375,5407.990234375,1914.25,13021.9296875,16659.0703125
2007-08-16,1406.6400146484375,4148.740234375,5338.740234375,1877.5,12861.4697265625,16296.400390625
2007-08-17,1411.260009765625,4059.030029296875,5256.85986328125,1860.0,12848.0498046875,16035.3798828125
2007-08-20,1445.93994140625,4180.9599609375,5428.669921875,1894.5,13079.080078125,15477.259765625
2007-08-21,1445.550048828125,4179.33984375,5413.02978515625,1898.25,13120.0498046875,15773.8603515625
2007-08-22,1447.030029296875,4187.509765625,5451.10009765625,1920.5,13090.8603515625,15866.599609375
2007-08-23,1464.050048828125,4254.02978515625,5575.97998046875,1944.75,13236.1298828125,16093.8203125
2007-08-24,1462.3399658203125,4212.7900390625,5491.2001953125,1939.25,13235.8798828125,16286.009765625
2007-08-27,1479.3599853515625,4247.2900390625,5598.72998046875,1969.5,13377.16015625,16429.009765625
2007-08-28,1466.719970703125,4235.27978515625,5579.81982421875,1951.5,13318.4296875,16214.08984375
2007-08-29,1432.010009765625,4149.97021484375,5441.52001953125,1909.75,13043.0703125,16068.099609375
2007-08-30,1463.6700439453125,4215.919921875,5584.009765625,1961.25,13287.91015625,16182.08984375
2007-08-31,1457.6099853515625,4264.39990234375,5634.06982421875,1973.0,13240.83984375,16270.990234375
2007-09-04,1473.9599609375,4288.080078125,5636.14990234375,1994.75,13358.3896484375,16445.73046875
2007-09-05,1488.760009765625,4312.43994140625,5655.27978515625,2024.75,13442.849609375,16506.109375
2007-09-06,1472.030029296875,4250.2099609375,5585.5400390625,2002.5,13306.4404296875,16003.8798828125
2007-09-07,1478.550048828125,4251.68017578125,5567.60986328125,2003.5,13360.740234375,16179.7802734375
2007-09-10,1453.5,4165.52978515625,5432.080078125,1968.75,13116.3896484375,15906.51953125
2007-09-11,1451.68994140625,4161.5,5442.10009765625,1968.5,13129.400390625,15787.8603515625
2007-09-12,1471.0999755859375,4197.89990234375,5480.97998046875,1993.25,13298.3095703125,15978.7802734375
2007-09-13,1471.469970703125,4202.3701171875,5489.419921875,1997.0,13292.3798828125,15886.759765625
2007-09-14,1483.949951171875,4236.89990234375,5540.35986328125,2003.0,13421.3896484375,15895.0498046875
2007-09-17,1484.239990234375,4215.31982421875,5523.8798828125,2000.25,13441.9501953125,
2007-09-18,1476.6300048828125,4177.10986328125,5418.9501953125,1982.5,13403.1796875,16037.490234375
2007-09-19,1519.75,4310.52001953125,5683.27001953125,2035.75,13740.6103515625,16038.1201171875
2007-09-20,1528.68994140625,4369.22998046875,5686.080078125,2040.0,13813.51953125,16474.66015625
2007-09-21,1518.75,4355.47021484375,5668.02001953125,2035.5,13768.330078125,16284.4296875
2007-09-24,1525.75,4363.52001953125,5686.47021484375,2068.5,13821.5703125,
2007-09-25,1516.3399658203125,4345.830078125,5663.18017578125,2079.0,13757.83984375,16317.1904296875
2007-09-26,1518.6199951171875,4341.919921875,5659.4501953125,2098.0,13779.2998046875,16388.509765625
2007-09-27,1527.3199462890625,4384.1201171875,5740.7998046875,2109.5,13879.5302734375,16551.939453125
2007-09-28,1531.239990234375,4389.080078125,5728.9501953125,2121.25,13912.9404296875,16903.640625
2007-10-01,1527.2900390625,4361.58984375,5670.7900390625,2116.25,13895.7099609375,16773.099609375
